,complex,filename,run,points,dim,size,size_prereduced,delta,algorithm,result,time_s
0,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,4920df00606a4edcbc6277109885d358,100,2,579,387,0.0,binning,192,0.8399589260000084
1,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,cab6f882c6fe4e0696e9bdf8d458b62e,100,2,579,387,0.002,binning,244,0.8199804939999922
2,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,89b2f842d20342ec838b419038c95fb9,100,2,579,387,0.005,binning,276,0.8197909470000013
3,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,10ceebaa637a447f9b2aa3cbe998f110,100,2,579,387,0.01,binning,302,0.8230722220000075
4,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,87753ef46b5242dfb69c6b8a21a2e24b,100,2,579,387,0.02,binning,336,0.9671482539999943
5,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,47062ffa49464cb8b38ef51c301c588e,100,2,579,387,0.03,binning,356,0.9793269130000226
6,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,40ddbec219654d778f225a2d622c96d8,100,2,579,387,0.04,binning,398,0.9001774430000182
7,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,c421da3909f24f5e94d89cb4ebafd9f3,100,2,579,387,0.05,binning,432,0.9437215469999956
8,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,bd46e7c288c44d9f9b8930dba8b13d99,100,2,579,387,0.1,binning,534,1.1288205960000255
9,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,2a88425712f34e4b9b5c66bc9ae25de5,100,2,579,387,0.2,binning,576,1.186054028000001
10,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,04e2d3e0f41b4cbe9f8f98063b3ffc66,100,2,579,387,0.5,binning,578,1.255948128
11,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,61ad4a75622e482b96551e37f48785be,100,2,579,387,1.0,binning,578,1.2117948839999713
12,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,3cf67114ddeb4100930d6dca1f268714,100,2,579,387,0.0,gradient,192,0.2502489290000085
13,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,01b8ea1e0e9b4e80b095eadffc5893e9,100,2,579,387,0.002,gradient,196,0.30963213000001133
14,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,71609a63c6424ed296ff4e83927d7642,100,2,579,387,0.005,gradient,212,0.34039114900002687
15,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,121099bc6cc640f4a70ff10cad5fc022,100,2,579,387,0.01,gradient,242,0.4112259510000058
16,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,d50d8dbf80434a0bb406a5aea0b7b8e5,100,2,579,387,0.02,gradient,306,0.5265181560000087
17,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,f9660b87400347a4b82ba04b100580e9,100,2,579,387,0.03,gradient,356,0.6741596290000302
18,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,cddf94ca09344157ad41064d0c8e85bb,100,2,579,387,0.04,gradient,392,0.7032741820000297
19,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,a0e31f99e0d846d99601dfe7acf17f32,100,2,579,387,0.05,gradient,418,0.7905544950000376
20,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,78d0c5edd2184f23b93597c24f662c30,100,2,579,387,0.1,gradient,518,1.089779118000024
21,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,71f099c2470b41f5b10f86be8ca89d5b,100,2,579,387,0.2,gradient,570,1.274975156000039
22,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,589272d512e04288bcc65df6ec4d7799,100,2,579,387,0.5,gradient,578,1.4615852779999727
23,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,18217513ef8944ab96b4c54bb54c002d,100,2,579,387,1.0,gradient,578,1.2526704200000154
24,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,b81353ab4e0c4afb9d73bbb0a574fe50,100,2,579,387,0.0,induced,192,0.7560237249999773
25,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,606a8f291d414fb69211c946f9e97cdb,100,2,579,387,0.002,induced,272,0.8163263089999759
26,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,e7b6864a74654804a3fa0961cf0c41cc,100,2,579,387,0.005,induced,298,0.8088471400000117
27,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,907dc2b404be404786ce0acaa1eef030,100,2,579,387,0.01,induced,326,1.073175622000008
28,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,9be98a28d2d341c095a8685c193f2412,100,2,579,387,0.02,induced,358,0.8858025719999887
29,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,6d070e2778b546f2a1cf4a22126fd7c5,100,2,579,387,0.03,induced,382,0.9334552869999584
30,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,63870a2e450b4fbab4204a387ffb9cd4,100,2,579,387,0.04,induced,414,1.1025821130000395
31,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,5b1171ee74154bec8029c8f490ef8f40,100,2,579,387,0.05,induced,442,1.0055949580000174
32,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,a227d69adc7742cabc6dc44df236bbef,100,2,579,387,0.1,induced,534,1.0898176079999757
33,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,2f864a61e97742a992716fd0f4f66efa,100,2,579,387,0.2,induced,576,1.4517104000000245
