,complex,filename,run,points,dim,size,size_prereduced,delta,algorithm,result,time_s
34,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,030a0e10530543a6bf2a83f9e756281c,100,2,579,387,0.5,induced,578,1.3860336449999977
35,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,80c8501e80c54e3f9d7431392c0bc520,100,2,579,387,1.0,induced,578,1.2873446849999937
36,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,38db333eaa8f401f9d883cd4b56b6483,100,2,579,387,0.0,perseus,336,0.011823542999991332
37,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,78284f272b3444299ce782892d10f405,100,2,579,387,0.002,perseus,290,0.015281780000009348
38,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,ddfc529827334e0e88d8ab65d61faffb,100,2,579,387,0.005,perseus,284,0.014247012999987874
39,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,6d7f1ddeb49d4060ade7cf2e0ed566d9,100,2,579,387,0.01,perseus,306,0.013654642999995303
40,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,c2e7be3b374f4dd1963c42470fc3867c,100,2,579,387,0.02,perseus,310,0.014375190000009752
41,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,b4a8099d30de44eab838f9765c723caa,100,2,579,387,0.03,perseus,336,0.013658747000022231
42,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,2c7f23c0c54e4a0695dde938009e9aa8,100,2,579,387,0.04,perseus,354,0.013213290000010147
43,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,78751e23d2614150b444c574c8b7f331,100,2,579,387,0.05,perseus,394,0.013828310999997484
44,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,7ac474670cc245ffafe07a4d0bf87880,100,2,579,387,0.1,perseus,520,0.013001893000023301
45,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,58a19acb1ec74f4aa14d372cc663857c,100,2,579,387,0.2,perseus,564,0.014136045999975977
46,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,296b20f284884d61bdc0668f79509d2c,100,2,579,387,0.5,perseus,574,0.013373057000023891
47,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_19.csv,80212f134e28436396849ae969733715,100,2,579,387,1.0,perseus,576,0.012910485999952925
