,complex,filename,run,points,dim,size,size_prereduced,delta,algorithm,result,time_s
0,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,7517fe9aa8fa4ed3a97cdcedd01a2314,100,2,583,363,0.0,binning,220,1.0449264569999954
1,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,2b5e45fa86c3446e8fe9bf3e45fcc1c5,100,2,583,363,0.002,binning,276,1.2509576630000012
2,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,4f4bb94343a14aeabecbc592ed00d818,100,2,583,363,0.005,binning,306,1.2623894709999988
3,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,56d04b22b89c4069a852c7932d28db9c,100,2,583,363,0.01,binning,322,1.0726278530000002
4,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,95b0ca64fe5c4bf4870bf28234e69a14,100,2,583,363,0.02,binning,342,0.8227695189999977
5,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,c0fe47a94886472dbcf086f9821029af,100,2,583,363,0.03,binning,394,0.7747080699999955
6,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,5729b1908ebe48f0b8a62cc987863d88,100,2,583,363,0.04,binning,410,0.7790414760000033
7,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,8ef7690bc5d54415bda9a55e2476608a,100,2,583,363,0.05,binning,434,0.7978335829999992
8,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,c4a387b43df244338ce17f39193946c4,100,2,583,363,0.1,binning,536,0.916405607999998
9,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,eb52624768e54f2aaa4402efcb0a24ce,100,2,583,363,0.2,binning,574,1.0801594530000003
10,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,f807186ed3bd4cffbe2f4d49ac31cd0c,100,2,583,363,0.5,binning,582,1.0232818320000021
11,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,34f9da26633846d0a536a4ffc0750c0a,100,2,583,363,1.0,binning,582,1.0229809060000008
12,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,839dacb7ca6647bda9b2e1bb7d6ff34e,100,2,583,363,0.0,gradient,220,0.2079466749999952
13,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,b7f676184f84488c9c6d6e2422604614,100,2,583,363,0.002,gradient,226,0.25139950499999486
14,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,ff46b7855ff24d56b47a4699f17b91f5,100,2,583,363,0.005,gradient,232,0.288456238000002
15,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,b7d6001148d24730a4944239800900a4,100,2,583,363,0.01,gradient,266,0.34785368000000005
16,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,6f677e621b6b460593ad529b9e15cca5,100,2,583,363,0.02,gradient,308,0.4262605779999973
17,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,abdb75ec4fd24dc2bb5569d8d4150fbf,100,2,583,363,0.03,gradient,358,0.5268044200000048
18,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,039f6addfa864eb3a7d0b38e84d85ae9,100,2,583,363,0.04,gradient,394,0.6159984340000051
19,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,657a0408eb8f4cab8b33529331aa5ef7,100,2,583,363,0.05,gradient,428,0.6577760839999982
20,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,4b9cd43b8be542888debd265c1c5f29b,100,2,583,363,0.1,gradient,530,0.9566337760000039
21,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,51a91153f04d43268fea7729d5f398e9,100,2,583,363,0.2,gradient,566,1.1778721599999997
22,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,23b4c523dc434ca09b5440de1ba0baa5,100,2,583,363,0.5,gradient,582,1.0565693600000046
23,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,8b4df2f9d0094b4088d7827af67084f9,100,2,583,363,1.0,gradient,582,1.0794543870000055
24,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,2e5d7158df5442aa812f30c442bd3ec8,100,2,583,363,0.0,induced,220,0.6248751939999977
25,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,a60a913618114066bd633963ec6e04fc,100,2,583,363,0.002,induced,300,0.6913695899999937
26,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,2b88a655d09c4bb0920dc766369223f9,100,2,583,363,0.005,induced,324,0.700237983000001
27,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,5da6d6b49b4740a3887469384a786fc3,100,2,583,363,0.01,induced,350,0.7212017109999991
28,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,ad4f6626e0ff473d9a6ba4276d1796bb,100,2,583,363,0.02,induced,374,0.9266378769999974
29,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,36321de00acc400eae8107273197f32f,100,2,583,363,0.03,induced,406,0.7778975010000053
30,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,5d6e43999301475881e38eee1f9a6c38,100,2,583,363,0.04,induced,428,0.8058828779999985
31,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,3a7d9cbff11f46b9b7560ab68d16b737,100,2,583,363,0.05,induced,450,0.8256631379999959
32,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,11db6a6814bb4977bf51e53611c73116,100,2,583,363,0.1,induced,536,0.9271397509999986
33,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,4bafb1a02cfe4ba5acef170eddfdd652,100,2,583,363,0.2,induced,574,1.0460627669999951
34,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,7718c04503294e0ca7492a9a62030eef,100,2,583,363,0.5,induced,582,1.0685103410000067
35,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,da6afd6fbda146bca315a35f253cbb02,100,2,583,363,1.0,induced,582,1.1153951050000046
36,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,6451a5b176aa475ea6c0ecae666845a7,100,2,583,363,0.0,perseus,340,0.012443869000009045
37,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,b52183acfd71410abc0f672a44c30b32,100,2,583,363,0.002,perseus,306,0.021404775999997128
38,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,f3aa9f60b4514807813863b9d1c26e89,100,2,583,363,0.005,perseus,314,0.017609914000004778
39,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,59d6a15acfff492a8d4fafeef09805c3,100,2,583,363,0.01,perseus,318,0.016300314000005756
40,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,93c9e90388714d2bb9a770c918261776,100,2,583,363,0.02,perseus,318,0.014425088999999502
41,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,5a202b63ab634cc784ff631d5a8c15b6,100,2,583,363,0.03,perseus,362,0.01314600800000676
42,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,028cf2e1568440caa349c8fa6970d710,100,2,583,363,0.04,perseus,378,0.012797825000006924
43,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,7cbb97fb82aa4947bd6a32de9dd7787e,100,2,583,363,0.05,perseus,404,0.01345496100000787
44,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,fbed9e3f25b14435a48f34906f45ba76,100,2,583,363,0.1,perseus,514,0.012340729000001716
45,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,2fc9bb42bfdb4e7fad483bd41342a9b6,100,2,583,363,0.2,perseus,552,0.012246858000011684
46,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,1068561f2ce04cbfb32376f2bb366777,100,2,583,363,0.5,perseus,578,0.014330631999996513
47,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_1.csv,de4709ab4ee54028905907504adbd0a1,100,2,583,363,1.0,perseus,580,0.01398347699999647
