,point_count,repeat,complex_size,0-cells,1-cells,2-cells,reducible_cells,reducible_2-cells,reducible_fraction,reducible_2-cell_fraction,2-cell_fraction
150,1000,18,5965,1000,2982,1983,2152,1076,0.3607711651299246,0.5426122037317196,0.3324392288348701
151,2000,18,11955,2000,5977,3978,4042,2021,0.33810121288163947,0.508044243338361,0.3327478042659975
152,10,19,45,10,22,13,14,7,0.3111111111111111,0.5384615384615384,0.28888888888888886
153,20,19,99,20,49,30,40,20,0.40404040404040403,0.6666666666666666,0.30303030303030304
154,50,19,277,50,138,89,104,52,0.37545126353790614,0.5842696629213483,0.3212996389891697
155,100,19,579,100,289,190,224,112,0.38687392055267705,0.5894736842105263,0.3281519861830743
156,200,19,1175,200,587,388,434,217,0.36936170212765956,0.5592783505154639,0.3302127659574468
157,500,19,2967,500,1483,984,1080,540,0.3640040444893832,0.5487804878048781,0.3316481294236603
158,1000,19,5965,1000,2982,1983,2100,1050,0.3520536462699078,0.529500756429652,0.3324392288348701
159,2000,19,11959,2000,5979,3980,4204,2102,0.3515344092315411,0.5281407035175879,0.33280374613261976
160,10,20,39,10,19,10,8,4,0.20512820512820512,0.4,0.2564102564102564
161,20,20,95,20,47,28,38,19,0.4,0.6785714285714286,0.29473684210526313
162,50,20,277,50,138,89,98,49,0.35379061371841153,0.550561797752809,0.3212996389891697
163,100,20,569,100,284,185,208,104,0.3655536028119508,0.5621621621621622,0.3251318101933216
164,200,20,1167,200,583,384,458,229,0.3924592973436161,0.5963541666666666,0.32904884318766064
165,500,20,2957,500,1478,979,1030,515,0.3483260060872506,0.526046986721144,0.33107879607710516
166,1000,20,5955,1000,2977,1978,2072,1036,0.3479429051217464,0.5237613751263903,0.33215785054575986
167,2000,20,11955,2000,5977,3978,4148,2074,0.3469677959012965,0.5213675213675214,0.3327478042659975
168,10,21,43,10,21,12,10,5,0.23255813953488372,0.4166666666666667,0.27906976744186046
169,20,21,101,20,50,31,40,20,0.39603960396039606,0.6451612903225806,0.3069306930693069
170,50,21,275,50,137,88,112,56,0.4072727272727273,0.6363636363636364,0.32
171,100,21,571,100,285,186,228,114,0.39929947460595444,0.6129032258064516,0.3257443082311734
172,200,21,1169,200,584,385,426,213,0.3644140290846878,0.5532467532467532,0.32934131736526945
173,500,21,2965,500,1482,983,1096,548,0.36964586846543,0.5574771108850458,0.3315345699831366
174,1000,21,5957,1000,2978,1979,2082,1041,0.34950478428739296,0.5260232440626579,0.3322142017794192
175,2000,21,11967,2000,5983,3984,4160,2080,0.34762262889613105,0.5220883534136547,0.3329155176736024
176,10,22,43,10,21,12,16,8,0.37209302325581395,0.6666666666666666,0.27906976744186046
177,20,22,101,20,50,31,44,22,0.43564356435643564,0.7096774193548387,0.3069306930693069
178,50,22,279,50,139,90,102,51,0.3655913978494624,0.5666666666666667,0.3225806451612903
179,100,22,579,100,289,190,220,110,0.3799654576856649,0.5789473684210527,0.3281519861830743
180,200,22,1171,200,585,386,426,213,0.3637916310845431,0.5518134715025906,0.3296327924850555
181,500,22,2961,500,1480,981,1080,540,0.364741641337386,0.5504587155963303,0.331306990881459
182,1000,22,5957,1000,2978,1979,2088,1044,0.3505120026859157,0.5275391611925214,0.3322142017794192
183,2000,22,11957,2000,5978,3979,4154,2077,0.34741155808313123,0.5219904498617743,0.3327757798778958
184,10,23,45,10,22,13,14,7,0.3111111111111111,0.5384615384615384,0.28888888888888886
185,20,23,101,20,50,31,42,21,0.4158415841584158,0.6774193548387096,0.3069306930693069
186,50,23,279,50,139,90,118,59,0.4229390681003584,0.6555555555555556,0.3225806451612903
187,100,23,575,100,287,188,208,104,0.3617391304347826,0.5531914893617021,0.3269565217391304
188,200,23,1167,200,583,384,454,227,0.389031705227078,0.5911458333333334,0.32904884318766064
189,500,23,2965,500,1482,983,1028,514,0.3467116357504216,0.5228891149542217,0.3315345699831366
190,1000,23,5957,1000,2978,1979,2054,1027,0.3448044317609535,0.5189489641232946,0.3322142017794192
191,2000,23,11955,2000,5977,3978,4060,2030,0.33960685905478877,0.510306686777275,0.3327478042659975
192,10,24,45,10,22,13,18,9,0.4,0.6923076923076923,0.28888888888888886
193,20,24,101,20,50,31,30,15,0.297029702970297,0.4838709677419355,0.3069306930693069
194,50,24,275,50,137,88,114,57,0.41454545454545455,0.6477272727272727,0.32
195,100,24,573,100,286,187,242,121,0.4223385689354276,0.6470588235294118,0.3263525305410122
196,200,24,1165,200,582,383,390,195,0.33476394849785407,0.5091383812010444,0.32875536480686696
197,500,24,2961,500,1480,981,1054,527,0.35596082404593044,0.5372069317023446,0.331306990881459
198,1000,24,5963,1000,2981,1982,2048,1024,0.3434512829112863,0.5166498486377397,0.3323830286768405
199,2000,24,11955,2000,5977,3978,4050,2025,0.33877038895859474,0.5090497737556561,0.3327478042659975
200,10,25,41,10,20,11,6,3,0.14634146341463414,0.2727272727272727,0.2682926829268293
201,20,25,99,20,49,30,34,17,0.3434343434343434,0.5666666666666667,0.30303030303030304
202,50,25,275,50,137,88,108,54,0.3927272727272727,0.6136363636363636,0.32
203,100,25,571,100,285,186,210,105,0.36777583187390545,0.5645161290322581,0.3257443082311734
204,200,25,1167,200,583,384,452,226,0.3873179091688089,0.5885416666666666,0.32904884318766064
