,point_count,repeat,complex_size,0-cells,1-cells,2-cells,reducible_cells,reducible_2-cells,reducible_fraction,reducible_2-cell_fraction,2-cell_fraction
375,2000,46,11957,2000,5978,3979,4184,2092,0.34992054863260014,0.5257602412666499,0.3327757798778958
376,10,47,41,10,20,11,10,5,0.24390243902439024,0.45454545454545453,0.2682926829268293
377,20,47,103,20,51,32,38,19,0.36893203883495146,0.59375,0.3106796116504854
378,50,47,279,50,139,90,92,46,0.32974910394265233,0.5111111111111111,0.3225806451612903
379,100,47,573,100,286,187,208,104,0.36300174520069806,0.5561497326203209,0.3263525305410122
380,200,47,1171,200,585,386,412,206,0.3518360375747225,0.533678756476684,0.3296327924850555
381,500,47,2963,500,1481,982,1066,533,0.35977050286871415,0.5427698574338086,0.3314208572392845
382,1000,47,5955,1000,2977,1978,2124,1062,0.3566750629722922,0.5369059656218402,0.33215785054575986
383,2000,47,11959,2000,5979,3980,4166,2083,0.3483568860272598,0.5233668341708543,0.33280374613261976
384,10,48,45,10,22,13,10,5,0.2222222222222222,0.38461538461538464,0.28888888888888886
385,20,48,97,20,48,29,40,20,0.41237113402061853,0.6896551724137931,0.29896907216494845
386,50,48,277,50,138,89,110,55,0.3971119133574007,0.6179775280898876,0.3212996389891697
387,100,48,571,100,285,186,214,107,0.37478108581436076,0.5752688172043011,0.3257443082311734
388,200,48,1167,200,583,384,438,219,0.37532133676092544,0.5703125,0.32904884318766064
389,500,48,2963,500,1481,982,1074,537,0.362470469119136,0.5468431771894093,0.3314208572392845
390,1000,48,5957,1000,2978,1979,2102,1051,0.35286217894913546,0.5310763011622032,0.3322142017794192
391,2000,48,11959,2000,5979,3980,4134,2067,0.34568107701312817,0.5193467336683417,0.33280374613261976
392,10,49,47,10,23,14,24,12,0.5106382978723404,0.8571428571428571,0.2978723404255319
393,20,49,101,20,50,31,48,24,0.4752475247524752,0.7741935483870968,0.3069306930693069
394,50,49,277,50,138,89,118,59,0.4259927797833935,0.6629213483146067,0.3212996389891697
395,100,49,573,100,286,187,232,116,0.4048865619546248,0.6203208556149733,0.3263525305410122
396,200,49,1167,200,583,384,402,201,0.3444730077120823,0.5234375,0.32904884318766064
397,500,49,2961,500,1480,981,1028,514,0.34718000675447486,0.5239551478083588,0.331306990881459
398,1000,49,5953,1000,2976,1977,2116,1058,0.3554510330925584,0.5351542741527567,0.3321014614480094
399,2000,49,11953,2000,5976,3977,4052,2026,0.33899439471262444,0.5094292180035203,0.3327198192922279
